TransactionID,OrderDate,Origin,Destination,TransportMode,Carrier,Distance_km,FreightCost,ShipmentWeight_kg,PlannedTransitDays,ActualTransitDays,UnitsShipped,DamagedUnits,OnTimeDelivery
106,10/15/2024,Chennai,Ahmedabad,Road,Delhivery,243,34033.5,1390,9,7,427,0,1
107,9/17/2024,Mumbai,Kolkata,Rail,DTDC,1297,42161.01,3895,8,1,10,0,1
108,8/18/2024,Chennai,Ahmedabad,Road,kuehne nagel,448,18937.05,1568,9,5,177,0,1
109,2/10/2024,Bangalore,Ahmedabad,Road,kuehne nagel,1822,59141.04,2009,9,9,87,0,1
110,1/28/2024,Chennai,Kolkata,Road,DHL,329,48048.44,760,7,2,84,0,1
111,5/14/2024,Mumbai,Pune,Road,kuehne nagel,1029,55957.32,4620,4,3,397,0,1
112,7/19/2024,Bangalore,Indore,Road,kuehne nagel,1083,59155.72,623,5,9,86,0,0
113,11/23/2024,Delhi,Hyderabad,Road,kuehne nagel,1449,58699.79,2893,7,3,297,0,1
114,9/24/2024,Mumbai,Indore,Road,kuehne nagel,521,75026.24,557,5,8,207,0,0
115,2/2/2024,Jaipur,Hyderabad,Road,DTDC,201,20503.19,2272,8,6,287,0,1
116,2/17/2024,Mumbai,Indore,Road,kuehne nagel,1929,23072.14,4837,5,7,109,0,0
117,3/2/2024,Bangalore,Ahmedabad,Road,Delhivery,1689,9347.68,1344,5,5,32,0,1
118,8/3/2024,Mumbai,Pune,Air,DTDC,1197,48221.74,1747,5,10,429,0,0
119,10/19/2024,Delhi,Ahmedabad,Road,kuehne nagel,1770,32824.47,837,4,12,13,0,0
120,4/8/2024,Delhi,Pune,Road,Delhivery,851,40703.51,3839,7,7,377,0,1
121,6/20/2024,Jaipur,Kolkata,Road,Delhivery,602,15246.07,4717,2,10,409,0,0
122,12/25/2024,Chennai,Hyderabad,Road,DTDC,1497,52626.7,2283,4,11,213,0,0
123,8/1/2024,Bangalore,Hyderabad,Road,DTDC,1596,50283.51,636,3,10,452,0,0
124,2/4/2024,Bangalore,Kolkata,Road,Delhivery,779,22653.19,3215,8,13,118,0,0
125,8/14/2024,Chennai,Indore,Air,DTDC,562,38302.5,3700,7,3,106,0,1
126,4/10/2024,Delhi,Kolkata,Rail,DTDC,1999,71755.47,4659,3,11,15,0,0
127,5/10/2024,Delhi,Kolkata,Rail,DHL,1062,62332.92,3299,4,5,320,0,0
128,9/13/2024,Mumbai,Pune,Air,DTDC,220,19701.62,2751,4,6,213,0,0
129,1/5/2024,Jaipur,Kolkata,Air,DHL,899,70550.68,4086,7,9,188,0,0
130,8/5/2024,Jaipur,Hyderabad,Rail,DTDC,843,7250.41,605,8,4,234,0,1
131,9/11/2024,Jaipur,Ahmedabad,Rail,DTDC,1638,34286.43,1759,4,8,373,0,0
132,12/24/2024,Mumbai,Pune,Road,Delhivery,174,8249.22,4025,8,14,264,0,0
133,10/9/2024,Jaipur,Pune,Road,DHL,224,74088.71,4440,1,14,223,0,0
134,7/25/2024,Chennai,Indore,Road,DTDC,553,5174.79,3357,9,8,458,0,1
135,1/15/2024,Mumbai,Ahmedabad,Road,kuehne nagel,1850,13796.74,1560,7,10,213,0,0
136,12/11/2024,Chennai,Pune,Air,DTDC,1850,73373.12,2636,4,6,145,0,0
137,2/11/2024,Mumbai,Kolkata,Road,Delhivery,1458,47408.3,3596,8,12,5,0,0
138,6/27/2024,Jaipur,Pune,Rail,Delhivery,760,64024.66,4126,2,8,141,0,0
139,3/3/2024,Chennai,Pune,Road,Delhivery,1841,3279.73,3556,8,12,21,0,0
140,12/17/2024,Chennai,Pune,Road,DHL,1757,34689.42,4393,6,14,117,0,0
141,8/18/2024,Chennai,Indore,Road,DHL,1644,78788.32,3683,7,5,380,0,1
142,8/28/2024,Mumbai,Pune,Road,DHL,155,47225.89,2456,7,1,115,0,1
143,2/21/2024,Bangalore,Pune,Road,kuehne nagel,1710,68275.26,1511,2,4,44,0,0
144,4/5/2024,Jaipur,Indore,Road,DHL,577,77157.64,2221,2,11,204,0,0
145,8/9/2024,Chennai,Ahmedabad,Road,Delhivery,87,55433.16,452,4,6,473,0,0
146,8/18/2024,Bangalore,Hyderabad,Road,DHL,444,27555.18,333,6,9,309,0,0
147,8/24/2024,Jaipur,Indore,Rail,DHL,1828,26071.34,290,4,13,412,0,0
148,5/22/2024,Jaipur,Indore,Road,DTDC,970,7559.64,4312,6,14,322,1,0
149,6/19/2024,Chennai,Pune,Road,DHL,526,35366.22,4706,5,4,405,0,1
150,1/29/2024,Chennai,Pune,Road,DTDC,1540,73400.37,2245,6,6,361,0,1
151,2/5/2024,Mumbai,Hyderabad,Road,DHL,771,39288.87,750,9,13,126,0,0
152,1/13/2024,Bangalore,Pune,Road,DTDC,1578,73057.6,2720,6,10,120,0,0
153,6/8/2024,Bangalore,Kolkata,Road,Delhivery,364,65737.07,1969,6,13,214,0,0
154,11/22/2024,Chennai,Pune,Road,DHL,1358,78766.59,4410,8,11,313,0,0
155,7/5/2024,Jaipur,Pune,Air,Delhivery,1537,75920.23,2598,5,5,311,0,1
156,8/30/2024,Chennai,Kolkata,Road,DHL,1753,57105.69,2376,5,9,130,0,0
157,3/26/2024,Jaipur,Hyderabad,Road,kuehne nagel,1337,69954.95,2846,1,10,94,0,0
158,10/10/2024,Jaipur,Kolkata,Road,kuehne nagel,1683,60350.06,2256,6,14,65,0,0
159,3/6/2024,Chennai,Indore,Road,Delhivery,1719,56864.77,4644,1,6,366,0,0
160,6/18/2024,Delhi,Kolkata,Road,Delhivery,1502,57813.65,1660,8,3,205,0,1
161,2/14/2024,Bangalore,Ahmedabad,Rail,kuehne nagel,414,58241.41,537,9,2,387,0,1
162,3/2/2024,Jaipur,Indore,Rail,kuehne nagel,230,31594.68,514,6,3,187,0,1
163,5/13/2024,Jaipur,Pune,Road,DTDC,783,35037.87,4373,9,6,212,0,1
164,10/10/2024,Delhi,Indore,Air,DHL,925,24937.55,715,2,10,191,1,0
165,1/28/2024,Mumbai,Hyderabad,Road,kuehne nagel,1043,13564.32,1539,9,8,261,0,1
166,4/17/2024,Delhi,Hyderabad,Rail,Delhivery,710,37758.59,848,4,8,322,0,0
167,2/13/2024,Delhi,Kolkata,Rail,Delhivery,293,72196.04,2850,3,12,90,0,0
168,12/5/2024,Jaipur,Indore,Rail,kuehne nagel,362,52798.65,3348,1,5,245,0,0
169,10/12/2024,Bangalore,Pune,Road,Delhivery,125,6382.07,3290,1,1,477,0,1
170,11/26/2024,Delhi,Hyderabad,Road,DHL,1954,65273.6,3405,8,1,402,0,1
171,5/7/2024,Mumbai,Pune,Road,DTDC,311,74961.32,3979,2,12,393,0,0
172,12/13/2024,Chennai,Ahmedabad,Road,DHL,280,66694.95,4407,1,7,150,0,0
173,8/18/2024,Delhi,Hyderabad,Road,DTDC,752,58748.23,3923,2,2,412,0,1
174,7/8/2024,Delhi,Kolkata,Road,DTDC,1453,13709.39,909,3,13,444,0,0
175,8/12/2024,Mumbai,Ahmedabad,Road,kuehne nagel,695,29221.99,413,4,4,140,0,1
176,10/9/2024,Bangalore,Indore,Rail,Delhivery,1382,46092.38,3982,9,10,293,0,0
177,4/30/2024,Delhi,Pune,Road,DTDC,1837,7995.14,2195,7,5,466,0,1
178,4/25/2024,Delhi,Hyderabad,Rail,kuehne nagel,1461,10289.08,2881,5,8,119,0,0
179,8/20/2024,Bangalore,Ahmedabad,Road,Delhivery,806,74871.81,4728,5,10,247,0,0
180,9/15/2024,Mumbai,Ahmedabad,Air,Delhivery,1850,56809.91,3622,6,9,98,0,0
181,12/24/2024,Delhi,Hyderabad,Road,DTDC,1398,23456.79,965,1,13,170,0,0
182,7/16/2024,Bangalore,Indore,Road,Delhivery,891,27534.1,1824,6,1,310,0,1
183,5/16/2024,Delhi,Indore,Air,DHL,928,31985.49,3415,6,9,426,0,0
184,11/13/2024,Chennai,Kolkata,Road,Delhivery,1529,7855.56,200,5,5,378,0,1
185,6/13/2024,Jaipur,Indore,Road,DHL,1585,59655.81,3270,9,4,67,1,1
186,8/12/2024,Chennai,Kolkata,Road,Delhivery,1416,15793.05,3071,5,10,56,0,0
187,11/2/2024,Delhi,Ahmedabad,Road,DTDC,565,64799.36,4287,9,5,46,0,1
188,8/21/2024,Mumbai,Hyderabad,Road,DTDC,491,67978.05,3867,7,14,5,0,0
189,6/20/2024,Jaipur,Indore,Road,kuehne nagel,1622,51797.87,1120,3,9,56,0,0
190,5/31/2024,Chennai,Kolkata,Air,DHL,632,62048.69,3493,9,8,151,0,1
191,11/10/2024,Bangalore,Ahmedabad,Rail,DHL,311,15403.14,4239,7,10,318,0,0
192,6/8/2024,Mumbai,Indore,Road,DTDC,798,46923.24,810,4,13,141,0,0
193,4/5/2024,Chennai,Pune,Rail,DTDC,868,54790.35,4501,9,12,315,0,0
194,8/20/2024,Bangalore,Ahmedabad,Road,DTDC,1051,53601.73,4677,6,5,472,0,1
195,6/28/2024,Delhi,Indore,Road,DHL,1536,11148.61,2789,9,13,284,0,0
196,4/22/2024,Bangalore,Ahmedabad,Road,kuehne nagel,916,28861.83,2067,4,11,465,0,0
197,11/13/2024,Chennai,Hyderabad,Rail,DHL,1763,27352.93,966,2,14,6,0,0
198,2/21/2024,Chennai,Hyderabad,Road,DTDC,657,46657.1,3993,9,10,189,0,0
199,9/24/2024,Delhi,Hyderabad,Rail,kuehne nagel,959,61688.5,3510,4,5,317,0,0
200,10/21/2024,Bangalore,Pune,Road,Delhivery,1300,46506.05,1542,2,1,219,0,1
201,4/22/2024,Bangalore,Hyderabad,Air,Delhivery,572,60876.54,3671,7,9,173,0,0
202,4/10/2024,Delhi,Pune,Rail,DTDC,1851,9719.47,776,7,3,93,0,1
203,4/22/2024,Bangalore,Hyderabad,Road,kuehne nagel,1262,70494.82,4911,5,1,12,0,1
204,3/21/2024,Delhi,Ahmedabad,Rail,DTDC,1282,43856.13,1659,5,5,163,0,1
205,7/5/2024,Mumbai,Indore,Road,DHL,1086,4924.9,4798,8,10,318,0,0
206,4/22/2024,Chennai,Indore,Road,DHL,1962,52170.61,4891,6,3,368,0,1
207,1/2/2024,Mumbai,Hyderabad,Road,kuehne nagel,211,42353.08,989,1,6,5,0,0
208,5/9/2024,Jaipur,Indore,Road,DTDC,1645,19188.83,137,4,7,66,1,0
209,8/7/2024,Jaipur,Hyderabad,Rail,DTDC,1566,61625.19,612,1,11,203,0,0
210,2/23/2024,Jaipur,Hyderabad,Road,Delhivery,1508,74818.32,1318,5,4,324,0,1
211,12/8/2024,Delhi,Kolkata,Road,kuehne nagel,54,27169.31,1540,5,4,342,1,1
212,8/11/2024,Bangalore,Kolkata,Road,DTDC,251,40525.42,4587,4,2,193,1,1
213,8/12/2024,Mumbai,Kolkata,Road,DHL,465,11997.65,3129,9,2,365,0,1
214,5/5/2024,Mumbai,Pune,Road,DTDC,1085,74524.38,1622,8,7,370,0,1
215,5/9/2024,Mumbai,Kolkata,Rail,DTDC,997,26866.09,4704,3,11,336,0,0
216,2/22/2024,Mumbai,Hyderabad,Air,DHL,1470,17193.21,3221,5,5,66,0,1
217,6/20/2024,Jaipur,Ahmedabad,Road,DHL,1414,39317.44,2850,6,5,169,0,1
218,8/5/2024,Mumbai,Kolkata,Road,DTDC,801,5376.03,3463,5,12,155,0,0
219,6/8/2024,Bangalore,Kolkata,Road,DHL,999,21721.27,1307,8,2,76,0,1
220,7/16/2024,Jaipur,Ahmedabad,Rail,Delhivery,422,7277.3,4938,5,7,261,0,0
221,9/3/2024,Mumbai,Hyderabad,Road,Delhivery,1451,11934.95,4835,8,2,133,0,1
222,11/19/2024,Delhi,Pune,Road,Delhivery,1298,10748.29,4622,3,13,342,0,0
223,7/21/2024,Chennai,Kolkata,Rail,DHL,1255,70048.76,4830,5,12,141,0,0
224,7/2/2024,Chennai,Ahmedabad,Road,DHL,1370,74573.92,2469,4,5,336,0,0
225,5/2/2024,Chennai,Hyderabad,Road,DHL,1889,39012.73,1193,6,5,346,0,1
226,9/11/2024,Jaipur,Indore,Rail,kuehne nagel,1380,51172.53,4687,3,3,499,1,1
227,10/20/2024,Mumbai,Pune,Road,DHL,480,56280.35,4324,4,2,137,0,1
228,10/6/2024,Jaipur,Ahmedabad,Road,Delhivery,739,32522.44,3215,4,3,176,0,1
229,11/20/2024,Bangalore,Ahmedabad,Road,Delhivery,167,30876.42,2664,5,11,288,2,0
230,4/7/2024,Delhi,Ahmedabad,Road,Delhivery,1425,54694.38,797,6,5,339,0,1
231,7/16/2024,Delhi,Kolkata,Road,kuehne nagel,637,31383.73,3539,2,12,36,1,0
232,8/27/2024,Chennai,Indore,Air,DTDC,1119,47318.74,2683,8,13,476,0,0
233,5/23/2024,Chennai,Pune,Road,Delhivery,276,42185.04,3538,4,6,143,0,0
234,4/6/2024,Chennai,Hyderabad,Rail,kuehne nagel,1429,42907.93,1897,7,4,137,0,1
235,7/19/2024,Mumbai,Hyderabad,Road,DTDC,1367,66689.99,4075,7,7,16,0,1
236,5/3/2024,Bangalore,Indore,Road,kuehne nagel,1313,56916.45,1195,2,2,250,0,1
237,7/5/2024,Bangalore,Ahmedabad,Road,kuehne nagel,397,76933.25,2154,7,14,6,0,0
238,11/21/2024,Bangalore,Ahmedabad,Road,DTDC,190,63696.18,3906,1,6,72,0,0
239,12/14/2024,Bangalore,Ahmedabad,Road,DHL,253,13371.82,2818,2,14,161,0,0
240,9/15/2024,Chennai,Ahmedabad,Road,DHL,1735,59601.7,4109,5,9,224,0,0
241,5/27/2024,Delhi,Ahmedabad,Road,Delhivery,1053,53920.51,1858,8,10,366,0,0
242,9/8/2024,Chennai,Indore,Road,DTDC,1715,52391.43,459,7,5,356,0,1
243,12/11/2024,Bangalore,Kolkata,Air,Delhivery,910,39498.08,695,3,4,426,0,0
244,5/26/2024,Chennai,Pune,Road,kuehne nagel,894,6872.19,3970,9,14,315,0,0
245,5/27/2024,Bangalore,Ahmedabad,Road,DHL,1044,76215.81,1601,5,9,496,0,0
246,12/17/2024,Jaipur,Kolkata,Road,Delhivery,1342,68450.13,1163,3,6,36,0,0
247,7/17/2024,Delhi,Hyderabad,Road,Delhivery,362,39971.03,3637,7,12,34,0,0
248,11/3/2024,Jaipur,Indore,Rail,DHL,1491,14369.32,111,4,4,386,0,1
249,5/7/2024,Mumbai,Kolkata,Road,kuehne nagel,1988,66308.87,1285,1,1,13,0,1
250,2/8/2024,Chennai,Ahmedabad,Road,Delhivery,186,35592.39,4393,5,9,427,1,0
251,12/3/2024,Mumbai,Ahmedabad,Road,Delhivery,1701,32428.89,1777,8,10,202,0,0
252,12/25/2024,Chennai,Ahmedabad,Rail,DTDC,400,53899.81,4642,4,3,57,0,1
253,5/8/2024,Jaipur,Kolkata,Road,DTDC,1234,61176.68,4604,7,6,486,1,1
254,9/23/2024,Bangalore,Ahmedabad,Road,DHL,1740,6901.58,3016,8,1,7,0,1
255,5/30/2024,Bangalore,Kolkata,Road,DHL,222,61869.4,3410,9,6,443,0,1
256,10/24/2024,Chennai,Ahmedabad,Road,kuehne nagel,1203,59247.36,1462,9,3,315,0,1
257,4/8/2024,Bangalore,Hyderabad,Road,kuehne nagel,128,47958.35,3634,5,3,111,0,1
258,9/19/2024,Jaipur,Hyderabad,Air,Delhivery,1028,28396.68,1783,6,11,116,0,0
259,9/8/2024,Bangalore,Pune,Rail,DTDC,618,14854.57,3680,7,7,307,0,1
260,5/23/2024,Jaipur,Ahmedabad,Road,kuehne nagel,912,10006.93,3919,2,11,259,0,0
261,12/11/2024,Mumbai,Ahmedabad,Road,Delhivery,106,2092.33,2541,9,9,155,0,1
262,4/21/2024,Jaipur,Kolkata,Road,Delhivery,1473,18103.89,2089,1,6,206,0,0
263,2/29/2024,Delhi,Kolkata,Road,DHL,412,34084.28,4937,6,12,310,0,0
264,1/2/2024,Delhi,Ahmedabad,Road,DTDC,1408,21004.26,1357,6,14,94,1,0
265,10/30/2024,Delhi,Pune,Road,Delhivery,183,26100.37,4062,7,14,192,0,0
266,9/10/2024,Chennai,Ahmedabad,Air,DHL,63,32455.29,1774,2,1,290,1,1
267,5/19/2024,Chennai,Kolkata,Road,Delhivery,332,26044.46,4740,6,9,279,0,0
268,2/6/2024,Chennai,Ahmedabad,Air,DTDC,855,58520.44,2505,6,13,48,0,0
269,6/8/2024,Jaipur,Kolkata,Road,Delhivery,1732,40354.69,991,9,5,55,0,1
270,1/9/2024,Chennai,Ahmedabad,Road,Delhivery,1494,3507.52,2086,8,2,17,0,1
271,8/20/2024,Mumbai,Indore,Road,kuehne nagel,176,19680.12,1863,5,3,335,0,1
272,4/8/2024,Delhi,Kolkata,Rail,kuehne nagel,1845,57353.34,3111,7,11,62,0,0
273,5/26/2024,Jaipur,Pune,Road,DHL,1899,25472.58,2444,7,5,125,0,1
274,10/30/2024,Delhi,Indore,Rail,Delhivery,267,73771.06,4417,5,12,237,0,0
275,7/26/2024,Chennai,Ahmedabad,Rail,DHL,1978,57587.8,1334,7,2,61,0,1
276,5/10/2024,Jaipur,Kolkata,Rail,DTDC,794,24614.3,445,3,14,445,0,0
277,5/31/2024,Bangalore,Indore,Rail,DHL,1954,42279.97,3813,7,12,44,0,0
278,2/23/2024,Mumbai,Pune,Rail,Delhivery,729,54044.64,4299,6,13,327,0,0
